"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"33186","The Crossings","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",56,,2072.5,2095,2100,2200,2200,2200,2150,2150,2150,2125,2200,2197.5,2050,2095,2000,2100,2100,2100,2100,2225,2200,2200,2300,2300,2200,2250,2100,2200,2350,2400,2300,2300,2300,2300,2200,2270,2250,2300,2300,2300,2300,2300,2250,2300,2350,2350,2300,2300,2300,2300,2300,2250,2242.5,2395,2200,2350,2372.5,2332.5,2400,2400,2400,2400,2400,2450,2550,2400,2425,2425,2500,2500,2500,2400,2450,2350,2400,2400,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2500,2499,2499.5,2500,2500,2499.5,2500,2450,2450,2487.5,2500,2562.5,2695
"02155","Medford","MA","Boston-Cambridge-Newton","Middlesex County",57,,,,,,,,,,,,,,,,,,,,,,,,2750,2750,2800,2800,2800,2800,2600,2600,2600,2550,2550,2500,2400,2500,2300,2500,2700,2800,2800,2800,2700,2700,2700,2700,2500,2550,2750,2750,2800,2800,3000,2862.5,2800,2800,2800,2775,2700,3000,3000,2875,3000,3000,3200,3000,2800,2600,2800,2750,2600,2800,3000,2900,3000,3000,3200,3200,3000,3000,3200,3300,3200,3200,3400,3400,3400,3250,3200,3200,3200,3350,3400,3250,3200,3200,3250,3600,3500
"34953","Port Saint Lucie","FL","Port St. Lucie","Saint Lucie County",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1674.5,1700,1700,1695,1650,1675,1700,1697,1700,1650,1650,1675,1685,1747.5,1700,1700,1800,1795,1750,1705,1695,1795,1695,1749,1750,1800,1785
"33027","Miramar","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",59,2400,2400,2400,2500,2500,2472.5,2495,2495,2450,2474.5,2450,2400,2300,2300,2375,2400,2450,2500,2500,2500,2500,2450,2400,2497.5,2400,2350,2400,2485,2500,2425,2400,2400,2472.5,2400,2500,2400,2500,2500,2500,2500,2500,2600,2600,2595,2575,2495,2500,2450,2499,2595,2650,2675,2650,2662.5,2599.5,2650,2692.5,2650,2650,2692.5,2685,2712.5,2700,2575,2500,2500,2500,2600,2615,2550,2650,2625.5,2649,2671.5,2660,2678,2697,2633,2636.5,2652.5,2695,2650,2657.5,2672.5,2600,2575,2575,2600,2800,2795,2712.5,2900,2800,2900,2900,2900,2750,2700,2800,2800
"30022","Johns Creek","GA","Atlanta-Sandy Springs-Roswell","Fulton County",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2180,2150,2200,2195,2200,2200,2200,2100,2095,2200,2200,2175,2050,2050,2167.5,2100,2100,2100,2175,2200,2200,2150,2100,2250,2150,2250,2200
"91710","Chino","CA","Riverside-San Bernardino-Ontario","San Bernardino County",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2500,2550,2525,2587.5,2500,2522,2550,2625,2500,2500,2500,2500,2600,2600,2650,2600,2550,2600,2650,2550,2550,2600,2625,2650,2650,2672.5,2700
"30004","Milton","GA","Atlanta-Sandy Springs-Roswell","Fulton County",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2350,2200,2200,2250,2195,2175,2200,2200,2172.5,2172.5,2197.5,2222.5,2400,2300,2400,2450,2395,2250,2140,2157.5,2375,2400,2200,2495
"32828","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",63,,,,,,,1600,1595,1575,1400,1425,1550,1500,1525,1572.5,1550,1500,1550,1550,1500,1500,1550,1550,1500,1550,1595,1595,1595,1595,1550,1595,1675,1595,1595,1595,1595,1595,1595,1595,1595,1637.5,1650,1595,1637.5,1600,1595,1562.5,1562.5,1597,1600,1637.5,1695,1712.5,1695,1720.5,1700,1600,1600,1625,1699.5,1695,1680,1650,1625,1597.5,1695,1725,1725,1695,1600,1697.5,1650,1795,1812.5,1725,1847.5,1800,1800,1877.5,1850,1812.5,1895,1900,1849,1897.5,1862.5,1850,1950,1982.5,1900,1907.5,1995,1950,1950,1995,1975,1900,1950,1900,1985
"94568","Dublin","CA","San Francisco-Oakland-Hayward","Alameda County",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3780,3697.5,3700,3790,3800,3662.5,3800,3800,3700,3800,3800,3700,3990,3800,3800,3800,3900,3800
"89031","North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",65,,,,,1225,1250,1250,1250,1250,1200,1200,1200,1200,1200,1225,1275,1250,1200,1195,1195,1195,1200,1195,1195,1195,1199.5,1200,1195,1200,1225,1200,1200,1200,1250,1200,1195,1195,1195,1195,1195,1195,1197.5,1200,1200,1225,1250,1200,1200,1200,1200,1250,1250,1295,1300,1297.5,1250,1250,1275,1250,1250,1250,1250,1250,1275,1295,1300,1325,1374.5,1349,1320,1299.5,1325,1300,1325,1349.5,1375,1300,1400,1400,1400,1395,1400,1385,1350,1390,1395,1400,1450,1495,1457.5,1495,1500,1507.5,1500,1500,1550,1545,1547.5,1560,1595
